Model: LinearRegression
Predictions vs Actual Values:
Predicted: 5614810.4571, Actual: 5229000.0000
Predicted: 6993000.0000, Actual: 6195000.0000
Predicted: 6242600.0000, Actual: 8400000.0000
Predicted: 6619200.0000, Actual: 12250000.0000
Predicted: 5801600.0000, Actual: 6230000.0000
Predicted: 5423600.0000, Actual: 5600000.0000
Predicted: 7392000.0000, Actual: 7525000.0000
Predicted: 4947600.0000, Actual: 5495000.0000
Predicted: 6214600.0000, Actual: 4970000.0000
Predicted: 4417000.0000, Actual: 5530000.0000
Predicted: 5012000.0000, Actual: 5600000.0000
Predicted: 4711000.0000, Actual: 5950000.0000
Predicted: 3630200.0000, Actual: 2653000.0000
Predicted: 6494600.0000, Actual: 7210000.0000
Predicted: 4130000.0000, Actual: 4319000.0000
Predicted: 3479000.0000, Actual: 2835000.0000
Predicted: 3514000.0000, Actual: 4340000.0000
Predicted: 4114600.0000, Actual: 5740000.0000
Predicted: 6182400.0000, Actual: 3640000.0000
Predicted: 4002600.0000, Actual: 3780000.0000
Predicted: 3127600.0000, Actual: 2520000.0000
Predicted: 3788400.0000, Actual: 3990000.0000
Predicted: 7119000.0000, Actual: 8400000.0000
Predicted: 3031000.0000, Actual: 3360000.0000
Predicted: 4127200.0000, Actual: 4165000.0000
Predicted: 6069000.0000, Actual: 5320000.0000
Predicted: 3202430.0000, Actual: 3675000.0000
Predicted: 3234000.0000, Actual: 2800000.0000
Predicted: 3171000.0000, Actual: 3220000.0000
Predicted: 3435600.0000, Actual: 3710000.0000
Predicted: 3169600.0000, Actual: 2695000.0000
Predicted: 3904600.0000, Actual: 2660000.0000
Predicted: 4466000.0000, Actual: 5243000.0000
Predicted: 6867000.0000, Actual: 5250000.0000
Predicted: 4170600.0000, Actual: 2835000.0000
Predicted: 3551800.0000, Actual: 3234000.0000
Predicted: 4569600.0000, Actual: 4060000.0000
Predicted: 3357200.0000, Actual: 3465000.0000
Predicted: 3444000.0000, Actual: 2485000.0000
Predicted: 5033000.0000, Actual: 4830000.0000
Predicted: 4504500.0000, Actual: 4480000.0000
Predicted: 5381600.0000, Actual: 3850000.0000
Predicted: 2982000.0000, Actual: 3150000.0000
Predicted: 6021400.0000, Actual: 5950000.0000
Predicted: 4886000.0000, Actual: 4123000.0000
Predicted: 2779000.0000, Actual: 2450000.0000
Predicted: 4981200.0000, Actual: 4760000.0000
Predicted: 5579000.0000, Actual: 5803000.0000
Predicted: 4081000.0000, Actual: 3080000.0000
Predicted: 4764200.0000, Actual: 5075000.0000
Predicted: 3357200.0000, Actual: 3500000.0000
Predicted: 3701600.0000, Actual: 4200000.0000
Predicted: 5605600.0000, Actual: 5530000.0000
Predicted: 4233600.0000, Actual: 3920000.0000
Predicted: 4648700.0000, Actual: 3990000.0000
Predicted: 4347000.0000, Actual: 3780000.0000
Predicted: 4317600.0000, Actual: 3118850.0000
Predicted: 4383400.0000, Actual: 4098500.0000
Predicted: 5164600.0000, Actual: 3150000.0000
Predicted: 2786000.0000, Actual: 2940000.0000
Predicted: 3766000.0000, Actual: 4620000.0000
Predicted: 4256000.0000, Actual: 4165000.0000
Predicted: 4071200.0000, Actual: 4165000.0000
Predicted: 3402000.0000, Actual: 4305000.0000
Predicted: 3462200.0000, Actual: 2660000.0000
Predicted: 2786000.0000, Actual: 3493000.0000
Predicted: 4872000.0000, Actual: 4893000.0000
Predicted: 5600000.0000, Actual: 6440000.0000
Predicted: 3390800.0000, Actual: 5866000.0000
Predicted: 4557000.0000, Actual: 2590000.0000
Predicted: 3567200.0000, Actual: 1750000.0000
Predicted: 4620000.0000, Actual: 2660000.0000
Predicted: 4867800.0000, Actual: 3710000.0000
Predicted: 5289200.0000, Actual: 5005000.0000
Predicted: 5730200.0000, Actual: 7343000.0000
Predicted: 6809600.0000, Actual: 5250000.0000
Predicted: 2534000.0000, Actual: 2345000.0000
Predicted: 7910000.0000, Actual: 8080940.0000
Predicted: 3805200.0000, Actual: 4270000.0000
Predicted: 3857000.0000, Actual: 4270000.0000
Predicted: 6118000.0000, Actual: 5880000.0000
Predicted: 3879400.0000, Actual: 2380000.0000
Predicted: 3479000.0000, Actual: 2940000.0000
Predicted: 3668000.0000, Actual: 3640000.0000
Predicted: 4079600.0000, Actual: 6107500.0000
Predicted: 8778000.0000, Actual: 12215000.0000
Predicted: 3505600.0000, Actual: 3675000.0000
Predicted: 2843400.0000, Actual: 2275000.0000
Predicted: 4842600.0000, Actual: 6020000.0000
Predicted: 6209000.0000, Actual: 8400000.0000
Predicted: 7117600.0000, Actual: 6650000.0000
Predicted: 5824000.0000, Actual: 7875000.0000
Predicted: 4380600.0000, Actual: 3640000.0000
Predicted: 6664000.0000, Actual: 6090000.0000
Predicted: 2843400.0000, Actual: 3255000.0000
Predicted: 4970000.0000, Actual: 3850000.0000
Predicted: 2882600.0000, Actual: 3325000.0000
Predicted: 4758600.0000, Actual: 5285000.0000
Predicted: 5318600.0000, Actual: 4550000.0000
Predicted: 4785200.0000, Actual: 4550000.0000
Predicted: 6212500.0000, Actual: 5950000.0000
Predicted: 4512200.0000, Actual: 4445000.0000
Predicted: 4602500.0000, Actual: 4382000.0000
Predicted: 3550400.0000, Actual: 6895000.0000
Predicted: 5931800.0000, Actual: 5950000.0000


Model: SVR
Predictions vs Actual Values:
Predicted: 4357543.9261, Actual: 5229000.0000
Predicted: 4357514.4263, Actual: 4690000.0000
Predicted: 4357484.1470, Actual: 2660000.0000
Predicted: 4357543.3182, Actual: 8645000.0000
Predicted: 4357527.1791, Actual: 4900000.0000
Predicted: 4357550.8064, Actual: 6195000.0000
Predicted: 4357532.9251, Actual: 8400000.0000
Predicted: 4357546.5116, Actual: 12250000.0000
Predicted: 4357521.4986, Actual: 6230000.0000
Predicted: 4357532.0923, Actual: 5600000.0000
Predicted: 4357550.2793, Actual: 7525000.0000
Predicted: 4357528.8659, Actual: 5495000.0000
Predicted: 4357532.6236, Actual: 4970000.0000
Predicted: 4357526.0436, Actual: 5530000.0000
Predicted: 4357521.2000, Actual: 5600000.0000
Predicted: 4357528.5369, Actual: 5950000.0000
Predicted: 4357494.6209, Actual: 2653000.0000
Predicted: 4357552.0218, Actual: 7210000.0000
Predicted: 4357499.6951, Actual: 4319000.0000
Predicted: 4357503.2553, Actual: 2835000.0000
Predicted: 4357520.0416, Actual: 4340000.0000
Predicted: 4357517.5734, Actual: 5740000.0000
Predicted: 4357532.2475, Actual: 3640000.0000
Predicted: 4357520.4695, Actual: 3780000.0000
Predicted: 4357490.7543, Actual: 2520000.0000
Predicted: 4357495.7199, Actual: 3990000.0000
Predicted: 4357544.6455, Actual: 8400000.0000
Predicted: 4357508.4543, Actual: 3360000.0000
Predicted: 4357515.2910, Actual: 4165000.0000
Predicted: 4357537.1576, Actual: 5320000.0000
Predicted: 4357499.8684, Actual: 3675000.0000
Predicted: 4357499.5056, Actual: 2800000.0000
Predicted: 4357497.9377, Actual: 3220000.0000
Predicted: 4357485.5270, Actual: 3710000.0000
Predicted: 4357474.2912, Actual: 2695000.0000
Predicted: 4357497.3670, Actual: 2660000.0000
Predicted: 4357528.9825, Actual: 5243000.0000
Predicted: 4357546.0557, Actual: 5250000.0000
Predicted: 4357524.5128, Actual: 2835000.0000
Predicted: 4357505.8126, Actual: 3234000.0000
Predicted: 4357525.0746, Actual: 4060000.0000
Predicted: 4357476.8140, Actual: 3465000.0000
Predicted: 4357484.1904, Actual: 2485000.0000
Predicted: 4357528.7813, Actual: 4830000.0000
Predicted: 4357535.5901, Actual: 4480000.0000
Predicted: 4357526.5591, Actual: 3850000.0000
Predicted: 4357499.4918, Actual: 3150000.0000
Predicted: 4357545.0480, Actual: 5950000.0000
Predicted: 4357513.9165, Actual: 4123000.0000
Predicted: 4357500.9191, Actual: 2450000.0000
Predicted: 4357536.0336, Actual: 4760000.0000
Predicted: 4357536.6640, Actual: 5803000.0000
Predicted: 4357511.0990, Actual: 3080000.0000
Predicted: 4357520.7417, Actual: 5075000.0000
Predicted: 4357486.8411, Actual: 3500000.0000
Predicted: 4357515.2603, Actual: 4200000.0000
Predicted: 4357537.9518, Actual: 5530000.0000
Predicted: 4357501.4826, Actual: 3920000.0000
Predicted: 4357528.2939, Actual: 3990000.0000
Predicted: 4357526.3964, Actual: 3780000.0000
Predicted: 4357513.6213, Actual: 3118850.0000
Predicted: 4357530.7582, Actual: 4098500.0000
Predicted: 4357529.4946, Actual: 3150000.0000
Predicted: 4357487.2247, Actual: 2940000.0000
Predicted: 4357515.9363, Actual: 4620000.0000
Predicted: 4357517.4187, Actual: 4165000.0000
Predicted: 4357509.5459, Actual: 4165000.0000
Predicted: 4357497.7580, Actual: 4305000.0000
Predicted: 4357497.9964, Actual: 2660000.0000
Predicted: 4357489.2069, Actual: 3493000.0000
Predicted: 4357528.3836, Actual: 4893000.0000
Predicted: 4357539.0834, Actual: 6440000.0000
Predicted: 4357515.5521, Actual: 5866000.0000
Predicted: 4357518.8393, Actual: 2590000.0000
Predicted: 4357483.1602, Actual: 1750000.0000
Predicted: 4357526.4103, Actual: 2660000.0000
Predicted: 4357524.7583, Actual: 3710000.0000
Predicted: 4357539.1896, Actual: 5005000.0000
Predicted: 4357543.4801, Actual: 7343000.0000
Predicted: 4357531.6449, Actual: 5250000.0000
Predicted: 4357474.0201, Actual: 2345000.0000
Predicted: 4357551.3487, Actual: 8080940.0000
Predicted: 4357503.5678, Actual: 4270000.0000
Predicted: 4357522.3931, Actual: 4270000.0000
Predicted: 4357533.5444, Actual: 5880000.0000
Predicted: 4357517.4607, Actual: 2380000.0000
Predicted: 4357503.4011, Actual: 2940000.0000
Predicted: 4357518.5804, Actual: 3640000.0000
Predicted: 4357522.5270, Actual: 6107500.0000
Predicted: 4357548.7206, Actual: 12215000.0000
Predicted: 4357485.0019, Actual: 3675000.0000
Predicted: 4357493.5753, Actual: 2275000.0000
Predicted: 4357536.3027, Actual: 6020000.0000
Predicted: 4357545.1938, Actual: 8400000.0000
Predicted: 4357549.2043, Actual: 6650000.0000
Predicted: 4357541.8978, Actual: 7875000.0000
Predicted: 4357510.3459, Actual: 3640000.0000
Predicted: 4357534.8657, Actual: 6090000.0000
Predicted: 4357483.4455, Actual: 3255000.0000
Predicted: 4357523.2503, Actual: 3850000.0000
Predicted: 4357478.3007, Actual: 3325000.0000
Predicted: 4357529.7791, Actual: 5285000.0000
Predicted: 4357540.8908, Actual: 4550000.0000
Predicted: 4357516.0208, Actual: 4550000.0000
Predicted: 4357542.1508, Actual: 5950000.0000
Predicted: 4357522.2609, Actual: 4445000.0000
Predicted: 4357529.6824, Actual: 4382000.0000
Predicted: 4357517.2657, Actual: 6895000.0000
Predicted: 4357542.3973, Actual: 5950000.0000


Model: DecisionTreeRegressor
Predictions vs Actual Values:
Predicted: 6090000.0000, Actual: 5229000.0000
Predicted: 3640000.0000, Actual: 4690000.0000
Predicted: 2660000.0000, Actual: 2660000.0000
Predicted: 6860000.0000, Actual: 8645000.0000
Predicted: 4900000.0000, Actual: 4900000.0000
Predicted: 9800000.0000, Actual: 6195000.0000
Predicted: 3920000.0000, Actual: 8400000.0000
Predicted: 4690000.0000, Actual: 12250000.0000
Predicted: 4830000.0000, Actual: 6230000.0000
Predicted: 4340000.0000, Actual: 5600000.0000
Predicted: 7560000.0000, Actual: 7525000.0000
Predicted: 4200000.0000, Actual: 5495000.0000
Predicted: 5040000.0000, Actual: 4970000.0000
Predicted: 4095000.0000, Actual: 5530000.0000
Predicted: 4305000.0000, Actual: 5600000.0000
Predicted: 6090000.0000, Actual: 5950000.0000
Predicted: 3675000.0000, Actual: 2653000.0000
Predicted: 7350000.0000, Actual: 7210000.0000
Predicted: 5033000.0000, Actual: 4319000.0000
Predicted: 3220000.0000, Actual: 2835000.0000
Predicted: 3080000.0000, Actual: 4340000.0000
Predicted: 4907000.0000, Actual: 5740000.0000
Predicted: 3850000.0000, Actual: 3640000.0000
Predicted: 4403000.0000, Actual: 3780000.0000
Predicted: 3360000.0000, Actual: 2520000.0000
Predicted: 2800000.0000, Actual: 3990000.0000
Predicted: 8960000.0000, Actual: 8400000.0000
Predicted: 3010000.0000, Actual: 3360000.0000
Predicted: 4480000.0000, Actual: 4165000.0000
Predicted: 6475000.0000, Actual: 5320000.0000
Predicted: 3703000.0000, Actual: 3675000.0000
Predicted: 2100000.0000, Actual: 2800000.0000
Predicted: 4200000.0000, Actual: 3220000.0000
Predicted: 3710000.0000, Actual: 3710000.0000
Predicted: 3430000.0000, Actual: 2695000.0000
Predicted: 3500000.0000, Actual: 2660000.0000
Predicted: 4130000.0000, Actual: 5243000.0000
Predicted: 9870000.0000, Actual: 5250000.0000
Predicted: 3220000.0000, Actual: 2835000.0000
Predicted: 3500000.0000, Actual: 3234000.0000
Predicted: 4907000.0000, Actual: 4060000.0000
Predicted: 5110000.0000, Actual: 3465000.0000
Predicted: 2590000.0000, Actual: 2485000.0000
Predicted: 5145000.0000, Actual: 4830000.0000
Predicted: 5565000.0000, Actual: 4480000.0000
Predicted: 4830000.0000, Actual: 3850000.0000
Predicted: 1890000.0000, Actual: 3150000.0000
Predicted: 3990000.0000, Actual: 5950000.0000
Predicted: 4130000.0000, Actual: 4123000.0000
Predicted: 3115000.0000, Actual: 2450000.0000
Predicted: 5943000.0000, Actual: 4760000.0000
Predicted: 5880000.0000, Actual: 5803000.0000
Predicted: 2870000.0000, Actual: 3080000.0000
Predicted: 4200000.0000, Actual: 5075000.0000
Predicted: 2450000.0000, Actual: 3500000.0000
Predicted: 3430000.0000, Actual: 4200000.0000
Predicted: 5390000.0000, Actual: 5530000.0000
Predicted: 4900000.0000, Actual: 3920000.0000
Predicted: 4200000.0000, Actual: 3990000.0000
Predicted: 3920000.0000, Actual: 3780000.0000
Predicted: 2380000.0000, Actual: 3118850.0000
Predicted: 3640000.0000, Actual: 4098500.0000
Predicted: 8400000.0000, Actual: 3150000.0000
Predicted: 2940000.0000, Actual: 2940000.0000
Predicted: 6440000.0000, Actual: 4620000.0000
Predicted: 6475000.0000, Actual: 4165000.0000
Predicted: 4403000.0000, Actual: 4165000.0000
Predicted: 3150000.0000, Actual: 4305000.0000
Predicted: 3850000.0000, Actual: 2660000.0000
Predicted: 2450000.0000, Actual: 3493000.0000
Predicted: 5250000.0000, Actual: 4893000.0000
Predicted: 10150000.0000, Actual: 6440000.0000
Predicted: 4620000.0000, Actual: 5866000.0000
Predicted: 3640000.0000, Actual: 2590000.0000
Predicted: 3115000.0000, Actual: 1750000.0000
Predicted: 3500000.0000, Actual: 2660000.0000
Predicted: 3780000.0000, Actual: 3710000.0000
Predicted: 3920000.0000, Actual: 5005000.0000
Predicted: 9100000.0000, Actual: 7343000.0000
Predicted: 6160000.0000, Actual: 5250000.0000
Predicted: 3570000.0000, Actual: 2345000.0000
Predicted: 8960000.0000, Actual: 8080940.0000
Predicted: 3500000.0000, Actual: 4270000.0000
Predicted: 3290000.0000, Actual: 4270000.0000
Predicted: 6293000.0000, Actual: 5880000.0000
Predicted: 3885000.0000, Actual: 2380000.0000
Predicted: 3290000.0000, Actual: 2940000.0000
Predicted: 3500000.0000, Actual: 3640000.0000
Predicted: 4473000.0000, Actual: 6107500.0000
Predicted: 13300000.0000, Actual: 12215000.0000
Predicted: 3780000.0000, Actual: 3675000.0000
Predicted: 3430000.0000, Actual: 2275000.0000
Predicted: 5383000.0000, Actual: 6020000.0000
Predicted: 3990000.0000, Actual: 8400000.0000
Predicted: 6650000.0000, Actual: 6650000.0000
Predicted: 4760000.0000, Actual: 7875000.0000
Predicted: 3360000.0000, Actual: 3640000.0000
Predicted: 5040000.0000, Actual: 6090000.0000
Predicted: 2660000.0000, Actual: 3255000.0000
Predicted: 5215000.0000, Actual: 3850000.0000
Predicted: 3356500.0000, Actual: 3325000.0000
Predicted: 4200000.0000, Actual: 5285000.0000
Predicted: 3920000.0000, Actual: 4550000.0000
Predicted: 3640000.0000, Actual: 4550000.0000
Predicted: 5652500.0000, Actual: 5950000.0000
Predicted: 3885000.0000, Actual: 4445000.0000
Predicted: 3360000.0000, Actual: 4382000.0000
Predicted: 6090000.0000, Actual: 6895000.0000
Predicted: 6090000.0000, Actual: 5950000.0000


